"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,3675,1.504583,1.437616,0.2044578
0,3690,1.257909,1.199759,0.2052799
0,3705,1.056117,1.008985,0.2058404
0,3720,0.8967373,0.8588943,0.2062743
0,3735,0.7709331,0.7401936,0.2066377
0,3750,0.6704376,0.6450056,0.2069561
0,3765,0.5888945,0.5674514,0.2072424
0,3780,0.5216985,0.5033091,0.207504
0,3795,0.4655596,0.4495617,0.2077456
0,3810,0.4181094,0.404028,0.2079705
0,3825,0.3776122,0.3650995,0.208181
0,3840,0.3427692,0.3315642,0.208379
0,3855,0.3125878,0.3024897,0.208566
0,3870,0.2862926,0.2771436,0.2087433
0,3885,0.2632677,0.2549412,0.208912
0,3900,0.243016,0.2354086,0.2090729
0,3915,0.2251313,0.2181574,0.2092268
0,3930,0.2092784,0.2028662,0.2093744
0,3945,0.1951775,0.1892661,0.2095164
0,3960,0.1825939,0.1771314,0.2096533
0,3975,0.1713297,0.1662711,0.2097856
0,3990,0.1612167,0.1565231,0.2099136
0,4005,0.1521116,0.1477489,0.2100379
0,4020,0.1438913,0.1398295,0.2101586
0,4035,0.1364499,0.1326625,0.2102763
0,4050,0.1296961,0.1261596,0.210391
0,4065,0.1235506,0.120244,0.2105031
0,4080,0.1179444,0.1148488,0.2106127
0,4095,0.1128175,0.109916,0.2107201
0,4110,0.1081173,0.1053945,0.2108254
0,4125,0.1037975,0.1012396,0.2109288
0,4140,0.09981766,0.09741195,0.2110304
0,4155,0.0961419,0.09387694,0.2111302
0,4170,0.09273864,0.09060395,0.2112285
0,4185,0.0895799,0.08756588,0.2113252
0,4200,0.08664086,0.08473871,0.2114205
0,4215,0.08389948,0.08210114,0.2115144
0,4230,0.08133617,0.0796342,0.211607
0,4245,0.07893348,0.07732105,0.2116983
0,4260,0.07667584,0.07514667,0.2117883
0,4275,0.07454938,0.07309766,0.211877
0,4290,0.07254171,0.07116209,0.2119646
0,4305,0.07064175,0.06932929,0.212051
0,4320,0.0688396,0.06758974,0.2121363
0,4335,0.6078945,0.9212213,0.1879722
0,4350,1.609974,1.809057,0.1971495
0,4365,1.918185,1.92958,0.2025366
0,4380,1.769931,1.711547,0.2050465
0,4395,1.506727,1.439651,0.2062737
0,4410,1.259708,1.201467,0.2069791
0,4425,1.057646,1.01044,0.2074602
0,4440,0.8980565,0.8601542,0.2078327
0,4455,0.7720922,0.7413031,0.2081448
0,4470,0.6714709,0.6459963,0.2084181
0,4485,0.5898258,0.5683456,0.208664
0,4500,0.5225467,0.5041242,0.2088888
0,4515,0.4663391,0.4503111,0.2090963
0,4530,0.4188302,0.4047212,0.2092896
0,4545,0.3782827,0.3657445,0.2094704
0,4560,0.3433969,0.332168,0.2096406
0,4575,0.3131792,0.3030584,0.2098014
0,4590,0.2868516,0.2776811,0.2099538
0,4605,0.2637972,0.2554502,0.2100987
0,4620,0.2435193,0.2358924,0.2102371
0,4635,0.2256113,0.2186186,0.2103694
0,4650,0.209737,0.2033068,0.2104964
0,4665,0.1956168,0.189688,0.2106185
0,4680,0.1830158,0.1775365,0.2107362
0,4695,0.1717358,0.1666609,0.2108499
0,4710,0.1616084,0.1568989,0.21096
0,4725,0.1524898,0.1481117,0.2110669
0,4740,0.1442571,0.1401802,0.2111707
0,4755,0.1368041,0.133002,0.2112719
0,4770,0.1300395,0.1264886,0.2113706
0,4785,0.123884,0.1205632,0.211467
0,4800,0.1182684,0.1151589,0.2115612
0,4815,0.1131325,0.1102173,0.2116536
0,4830,0.1084236,0.1056874,0.2117442
0,4845,0.1040956,0.1015245,0.2118331
